,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,final_score,school,sex,address,famsize,Pstatus,Fjob,reason,guardian,nursery,higher,internet,romantic,schoolsup,familysup,paidsup,nosup
47,16,4,3,1,4,0,4,2,2,1,1,2,2,17,GP,M,U,GT3,T,services,reputation,mother,yes,yes,yes,no,0,0,0,1
48,15,4,2,1,2,0,4,3,3,2,2,5,4,13,GP,M,U,GT3,T,other,home,mother,yes,yes,no,no,0,1,0,0
49,15,4,4,1,2,0,4,4,4,1,1,3,2,12,GP,F,U,GT3,T,teacher,other,father,no,yes,yes,no,1,1,0,0
50,16,2,2,3,2,0,4,3,3,2,3,4,0,13,GP,F,U,LE3,T,services,course,mother,yes,yes,yes,no,0,1,0,0
51,15,4,2,1,2,0,4,3,3,1,1,5,0,16,GP,F,U,LE3,T,other,other,mother,yes,yes,yes,no,0,1,0,0
52,15,4,2,2,1,0,5,5,5,3,4,5,4,9,GP,M,U,LE3,A,health,other,father,yes,yes,no,no,0,0,0,1
53,15,4,4,1,1,0,3,3,4,2,3,5,0,12,GP,F,U,GT3,T,services,course,mother,yes,yes,yes,no,1,1,0,0
54,15,3,3,1,1,0,5,3,4,4,4,1,0,13,GP,F,U,LE3,A,other,other,mother,yes,yes,yes,no,0,0,0,1
55,16,2,1,1,2,0,5,3,4,1,1,2,2,12,GP,F,U,GT3,A,other,other,mother,yes,yes,yes,yes,0,0,0,1
56,15,4,3,1,2,0,4,3,2,1,1,1,0,15,GP,F,U,GT3,A,services,reputation,mother,yes,yes,yes,no,0,1,0,0
57,15,4,4,1,2,0,3,2,2,1,1,5,8,16,GP,M,U,GT3,T,health,reputation,mother,yes,yes,no,no,0,1,0,0
58,15,1,2,1,2,0,4,3,2,1,1,5,0,14,GP,M,U,LE3,T,at_home,home,father,yes,yes,yes,no,1,1,0,0
59,16,4,2,1,2,0,4,2,3,1,1,5,2,16,GP,F,U,GT3,T,other,course,mother,yes,yes,yes,no,0,1,1,0
60,16,4,4,1,2,0,2,4,4,2,3,4,0,16,GP,F,R,GT3,T,teacher,other,mother,yes,yes,no,no,0,1,0,0
61,16,1,1,4,1,0,5,5,5,5,5,5,0,16,GP,F,U,GT3,T,services,course,father,no,yes,yes,yes,1,1,0,0
62,16,1,2,1,2,0,4,4,3,1,1,1,0,10,GP,F,U,LE3,T,services,reputation,father,yes,yes,yes,no,1,0,0,0
63,16,4,3,1,3,0,3,4,4,2,4,4,0,13,GP,F,U,GT3,T,health,home,mother,yes,yes,yes,no,1,1,0,0
64,15,4,3,1,2,0,4,4,4,2,4,2,0,12,GP,F,U,LE3,T,services,reputation,father,yes,yes,yes,yes,1,0,0,0
65,16,4,3,3,2,0,5,4,3,1,2,1,2,16,GP,F,U,LE3,T,services,course,mother,yes,yes,yes,no,0,1,0,0
66,15,4,4,1,4,0,1,3,3,5,5,3,0,12,GP,M,U,GT3,A,services,reputation,mother,no,yes,yes,yes,0,1,0,0
67,16,3,1,1,4,0,4,3,3,1,2,5,0,10,GP,F,U,GT3,T,other,course,mother,yes,yes,yes,no,1,1,0,0
68,15,2,2,2,2,0,4,1,3,1,3,4,0,11,GP,F,R,LE3,T,services,reputation,mother,yes,yes,yes,no,1,1,0,0
69,15,3,1,2,4,0,4,4,2,2,3,3,6,15,GP,F,R,LE3,T,other,reputation,father,no,yes,yes,no,0,1,0,0
70,16,3,1,2,4,0,4,3,2,1,1,5,2,11,GP,M,U,GT3,T,other,reputation,father,yes,yes,yes,no,0,1,0,0
71,15,4,2,1,4,0,3,3,3,1,1,3,0,10,GP,M,U,GT3,T,other,course,mother,yes,yes,yes,no,0,0,0,1
72,15,1,1,1,2,0,3,3,4,2,4,5,2,11,GP,F,R,GT3,T,other,reputation,mother,no,yes,yes,yes,1,1,0,0
73,16,3,1,1,1,0,5,3,2,2,2,5,0,14,GP,M,U,GT3,T,other,reputation,mother,yes,yes,no,no,0,0,0,1
74,16,3,3,1,2,0,4,3,3,2,4,5,4,11,GP,F,U,GT3,T,services,home,mother,yes,yes,yes,no,1,1,0,0
75,15,4,3,1,2,0,4,3,3,2,3,5,0,11,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,0,0
76,15,4,0,2,4,0,3,4,3,1,1,1,0,11,GP,M,U,GT3,T,other,course,mother,yes,yes,yes,no,0,0,0,1
77,16,2,2,1,4,0,5,2,3,1,3,3,1,13,GP,F,U,GT3,T,other,reputation,mother,yes,yes,yes,yes,0,0,0,1
78,17,2,1,2,1,3,4,5,1,1,1,3,0,10,GP,M,U,GT3,T,other,home,mother,yes,no,yes,no,1,1,0,0
79,16,3,4,1,2,0,2,4,3,1,2,3,14,11,GP,F,U,GT3,T,other,course,mother,yes,yes,yes,no,0,1,0,0
80,15,2,3,1,1,0,3,2,2,1,3,3,0,12,GP,M,U,GT3,T,services,course,father,no,yes,yes,yes,1,1,0,0
81,15,2,3,1,3,0,5,3,2,1,2,5,2,9,GP,M,U,GT3,T,other,home,mother,no,yes,yes,no,1,0,0,0
82,15,3,2,1,2,0,4,4,4,1,1,5,4,11,GP,F,U,LE3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
83,15,2,2,2,2,0,5,3,3,1,3,4,2,13,GP,M,U,LE3,T,services,home,mother,yes,yes,yes,no,0,0,1,0
84,15,1,1,1,2,0,4,3,2,2,3,4,2,12,GP,F,U,GT3,T,other,home,father,no,yes,yes,no,0,1,0,0
85,15,4,4,2,2,0,4,4,4,2,3,5,4,12,GP,F,U,GT3,T,services,reputation,father,yes,yes,yes,yes,0,0,0,1
86,16,2,2,1,2,0,4,3,4,1,2,2,6,11,GP,F,U,LE3,T,other,course,mother,yes,yes,no,no,0,1,0,0
87,15,4,2,1,3,0,5,3,3,1,3,1,4,15,GP,F,U,GT3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
88,16,2,2,2,2,0,4,4,2,1,1,3,6,11,GP,M,U,GT3,T,other,reputation,father,no,yes,yes,no,0,0,0,1
89,16,4,4,1,2,0,4,1,3,3,5,5,6,10,GP,M,U,LE3,A,health,reputation,mother,yes,yes,no,no,0,1,0,0
90,16,3,3,1,3,0,4,3,3,1,3,4,2,11,GP,F,U,GT3,T,other,home,mother,yes,yes,yes,yes,0,1,0,0
91,15,4,3,1,1,0,4,5,5,1,3,1,6,13,GP,F,U,GT3,T,other,reputation,mother,yes,yes,yes,no,0,0,0,1
92,16,3,1,1,2,0,3,3,3,2,3,2,0,12,GP,F,U,LE3,T,other,home,father,yes,yes,no,no,1,1,0,0
93,16,4,2,2,2,0,5,3,3,1,1,1,2,14,GP,F,U,GT3,T,services,home,mother,yes,yes,yes,no,0,1,0,0
94,15,2,2,1,4,0,4,3,4,1,1,4,2,12,GP,M,U,LE3,T,health,reputation,mother,yes,yes,yes,no,0,1,0,0
95,15,1,1,2,4,0,3,1,2,1,1,1,4,13,GP,F,R,GT3,T,other,home,mother,yes,yes,yes,no,1,1,1,0
96,16,4,3,2,1,0,3,3,3,1,1,4,6,11,GP,M,R,GT3,T,other,reputation,mother,no,yes,yes,no,1,1,1,0
97,16,2,1,1,2,0,4,3,5,1,1,5,0,12,GP,F,U,GT3,T,other,course,mother,yes,yes,no,yes,0,1,0,0
98,16,4,4,1,1,0,5,3,4,1,2,1,4,13,GP,F,U,GT3,T,other,reputation,mother,no,yes,yes,no,0,0,0,1
99,16,4,3,1,3,0,5,3,5,1,1,3,2,13,GP,F,U,GT3,T,at_home,course,mother,yes,yes,yes,no,1,1,0,0
100,16,4,4,1,1,0,4,5,5,5,5,4,12,8,GP,M,U,GT3,T,services,other,mother,yes,yes,yes,no,1,1,0,0
101,16,4,4,1,3,0,4,4,3,1,1,4,0,16,GP,M,U,GT3,T,teacher,other,father,yes,yes,yes,yes,0,1,0,0
102,15,4,4,1,1,0,5,3,3,1,1,5,2,12,GP,M,U,GT3,T,other,course,mother,no,yes,yes,no,0,1,1,0
103,15,3,2,2,2,0,4,3,5,1,1,2,16,10,GP,F,U,GT3,T,other,home,mother,yes,yes,yes,no,1,1,0,0
104,15,3,4,1,2,0,5,4,4,1,1,1,0,16,GP,M,U,GT3,A,other,course,mother,yes,yes,yes,no,0,1,0,0
105,15,3,3,1,4,0,4,3,3,1,1,4,10,10,GP,F,U,GT3,A,health,reputation,father,yes,yes,no,no,1,0,0,0
106,15,2,2,1,4,0,5,1,2,1,1,3,4,10,GP,F,U,GT3,T,other,course,mother,yes,yes,yes,no,1,1,0,0
107,16,3,3,1,3,0,5,3,3,1,1,5,4,14,GP,M,U,GT3,T,other,home,father,yes,yes,yes,no,0,1,0,0
108,15,4,4,4,4,0,1,3,5,3,5,1,8,11,GP,M,R,GT3,T,other,home,father,yes,yes,yes,yes,0,1,0,0
109,16,4,4,1,3,0,5,4,5,1,1,4,2,14,GP,F,U,LE3,T,health,other,mother,yes,yes,yes,yes,0,1,0,0
110,15,4,4,1,1,0,5,5,3,1,1,4,4,14,GP,M,U,LE3,A,teacher,course,mother,yes,yes,yes,no,0,0,0,1
111,16,3,3,1,3,0,4,1,2,1,1,2,4,11,GP,F,R,GT3,T,other,reputation,father,yes,yes,yes,no,1,1,0,0
112,16,2,2,1,2,1,3,1,2,1,1,5,12,10,GP,F,U,GT3,T,other,home,mother,yes,yes,yes,no,1,0,0,0
113,15,4,2,1,1,0,3,5,2,1,1,3,10,18,GP,M,U,LE3,T,other,course,mother,yes,yes,yes,no,0,0,0,1
114,15,2,1,1,2,0,5,4,2,1,1,5,4,10,GP,M,R,GT3,T,services,reputation,mother,yes,yes,yes,yes,0,0,0,1
115,16,4,4,1,2,0,5,4,4,1,2,5,6,14,GP,M,U,GT3,T,teacher,course,father,yes,yes,yes,no,0,1,0,0
116,15,4,4,2,2,0,4,4,3,1,1,2,4,16,GP,M,U,GT3,T,teacher,reputation,father,yes,yes,no,no,0,1,0,0
117,16,3,3,2,1,0,5,4,2,1,1,5,6,15,GP,M,U,GT3,T,services,home,father,yes,yes,yes,no,0,0,0,1
118,17,1,3,3,2,1,5,2,4,1,4,5,14,11,GP,M,R,GT3,T,other,course,father,yes,yes,yes,no,0,1,0,0
119,15,3,4,1,1,0,3,4,3,1,2,4,2,14,GP,M,U,GT3,T,other,reputation,father,yes,yes,yes,no,0,0,0,1
120,15,1,2,1,2,0,3,2,3,1,2,1,0,14,GP,F,U,GT3,T,services,course,mother,no,yes,yes,no,0,0,0,1
121,15,2,2,1,4,0,5,5,4,1,2,5,6,13,GP,M,U,GT3,T,services,home,father,yes,yes,yes,no,0,1,0,0
122,16,2,4,2,2,0,4,2,2,1,2,5,2,13,GP,F,U,LE3,T,health,course,father,yes,yes,yes,yes,0,1,0,0
123,16,4,4,1,1,0,3,4,4,1,4,5,4,13,GP,M,U,GT3,T,other,course,mother,yes,yes,yes,no,0,1,0,0
124,16,2,2,1,2,0,5,4,4,1,1,5,0,11,GP,F,U,GT3,T,other,home,mother,yes,yes,yes,yes,0,0,0,1
125,15,3,4,1,1,0,5,5,5,3,2,5,2,9,GP,M,U,GT3,T,services,home,father,yes,yes,yes,no,1,0,0,0
126,15,3,4,1,2,0,5,3,2,1,1,1,0,11,GP,F,U,LE3,A,other,home,mother,yes,yes,yes,yes,1,0,0,0
127,19,0,1,1,2,2,3,4,2,1,1,5,0,11,GP,F,U,GT3,T,other,course,other,no,no,no,no,0,1,0,0
128,16,4,4,1,1,0,3,5,5,2,5,4,8,15,GP,M,R,GT3,T,teacher,course,mother,yes,yes,yes,no,0,0,0,1
129,16,2,3,2,3,0,3,2,3,2,2,1,4,13,GP,M,U,GT3,T,other,course,mother,no,yes,yes,yes,0,1,0,0
130,15,3,4,2,3,0,4,2,2,2,2,5,0,12,GP,F,R,GT3,T,teacher,course,father,yes,yes,yes,yes,0,1,0,0
131,18,2,1,1,2,3,5,4,5,1,3,5,10,8,GP,F,U,GT3,T,other,reputation,mother,yes,no,yes,yes,0,1,0,0
132,17,2,1,3,1,0,3,2,2,1,2,5,8,11,GP,F,U,LE3,A,other,course,mother,yes,yes,yes,no,0,1,0,0
133,15,1,1,3,1,0,4,3,3,1,2,4,6,13,GP,F,U,GT3,T,other,course,mother,no,yes,yes,yes,0,1,0,0
134,17,2,2,1,1,0,3,4,4,1,3,5,2,12,GP,F,U,LE3,T,other,course,father,yes,yes,yes,yes,0,1,0,0
135,16,3,4,1,1,0,3,2,1,1,4,5,12,14,GP,F,U,GT3,A,other,course,father,yes,yes,yes,no,0,0,0,1
136,16,2,1,4,1,0,3,2,1,1,1,2,4,11,GP,M,U,GT3,T,other,course,mother,yes,yes,no,no,0,0,0,1
137,16,2,2,1,1,1,5,3,4,1,1,5,12,11,GP,F,U,GT3,A,other,home,mother,yes,yes,no,no,0,0,0,1
138,15,3,4,4,2,0,5,3,3,1,1,5,2,11,GP,M,R,GT3,T,teacher,course,mother,yes,yes,no,yes,0,1,0,0
139,15,4,4,1,3,0,4,3,3,1,1,5,4,15,GP,F,U,GT3,T,at_home,course,mother,yes,yes,yes,yes,0,1,0,0
140,17,3,4,3,2,0,5,4,5,2,4,5,2,10,GP,M,R,GT3,T,other,course,mother,yes,yes,no,no,0,0,0,1
141,16,1,1,4,2,0,5,1,3,1,1,3,0,13,GP,F,R,GT3,T,other,course,mother,yes,yes,no,no,0,1,0,0
142,18,3,1,2,1,0,3,3,4,4,5,4,2,12,GP,M,U,LE3,T,services,course,mother,yes,yes,yes,yes,0,0,0,1
143,18,3,2,1,3,0,4,3,3,5,1,5,10,11,GP,F,U,GT3,A,services,course,other,no,yes,yes,yes,0,1,0,0
144,16,1,1,2,1,0,3,3,3,1,2,1,8,11,GP,F,R,GT3,T,services,reputation,mother,yes,yes,no,yes,0,1,0,0
145,16,3,3,2,1,0,4,3,2,1,1,5,4,10,GP,F,U,GT3,A,other,course,other,no,yes,yes,yes,0,1,0,0
146,16,1,1,1,2,2,4,4,4,1,3,5,0,10,GP,M,U,LE3,T,other,course,mother,yes,yes,no,yes,0,0,0,1
147,15,4,4,2,1,0,4,3,2,1,1,5,6,14,GP,F,U,GT3,T,teacher,course,mother,yes,yes,yes,no,0,0,0,1
148,15,1,1,3,1,1,5,5,5,1,1,1,2,9,GP,F,R,GT3,T,other,course,mother,yes,yes,yes,yes,0,0,0,1
149,15,4,3,2,4,0,2,2,2,1,1,3,6,11,GP,M,U,GT3,T,services,course,father,yes,yes,yes,no,1,1,0,0
150,15,3,3,1,2,0,1,3,2,2,3,1,24,9,GP,F,U,GT3,A,services,home,mother,no,yes,no,yes,0,0,0,1
151,16,4,4,1,3,0,5,3,3,1,3,5,0,13,GP,M,U,GT3,T,services,course,mother,yes,yes,yes,no,0,1,0,0
152,16,2,2,2,1,0,2,3,3,2,2,2,4,11,GP,M,U,LE3,T,services,reputation,father,yes,yes,yes,no,0,1,0,0
153,15,4,4,1,3,0,4,2,2,1,1,5,2,13,GP,F,U,GT3,T,services,course,mother,yes,yes,yes,no,0,1,0,0
154,16,1,1,1,1,0,3,4,4,3,3,1,4,11,GP,F,U,LE3,T,at_home,course,mother,yes,yes,yes,no,0,0,0,1
155,17,2,1,1,1,0,5,4,5,1,2,5,22,6,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,0,0
156,15,1,1,1,2,0,4,4,2,1,2,5,0,12,GP,F,U,GT3,T,services,course,father,yes,yes,yes,no,0,1,0,0
157,15,2,1,2,1,0,4,4,2,1,1,5,0,10,GP,F,U,LE3,A,other,home,mother,yes,no,yes,yes,0,1,0,0
158,15,3,2,1,2,1,3,3,2,1,1,3,2,11,GP,F,U,GT3,T,services,home,father,yes,yes,yes,no,0,1,0,0
159,15,1,2,1,2,0,4,3,2,1,1,5,6,13,GP,F,U,GT3,T,other,course,mother,no,yes,yes,no,0,1,0,0
160,15,1,2,1,2,0,2,3,4,2,4,1,6,11,GP,F,U,GT3,T,services,course,father,no,yes,no,yes,0,0,0,1
161,16,4,4,1,1,0,3,3,2,2,1,5,16,8,GP,M,U,GT3,T,teacher,course,mother,yes,no,yes,yes,0,1,0,0
162,15,2,1,4,1,0,4,5,5,2,5,5,0,11,GP,M,U,LE3,A,other,course,mother,yes,yes,yes,no,0,0,0,1
163,18,1,1,1,1,2,2,3,5,2,5,4,0,0,GP,M,U,LE3,T,other,course,mother,yes,no,yes,yes,0,0,0,1
164,16,2,1,1,1,1,4,4,4,3,5,5,6,10,GP,M,U,LE3,T,other,course,mother,yes,yes,no,yes,0,0,0,1
165,15,3,3,2,3,0,4,2,1,2,3,3,2,13,GP,F,R,GT3,T,services,reputation,other,yes,yes,yes,yes,0,1,1,0
166,19,3,2,1,1,0,4,5,4,1,1,4,6,11,GP,M,U,GT3,T,at_home,home,mother,yes,no,yes,yes,0,1,0,0
167,17,4,4,1,1,0,4,2,1,1,1,4,0,13,GP,F,U,GT3,T,teacher,course,mother,yes,yes,no,yes,1,1,0,0
168,15,2,3,1,2,0,4,4,4,1,1,1,0,8,GP,M,R,GT3,T,services,course,mother,yes,yes,no,no,1,0,1,0
169,17,1,2,1,1,3,2,2,2,3,3,5,14,10,GP,M,R,LE3,T,other,reputation,mother,yes,yes,no,no,0,0,0,1
170,18,1,1,3,1,3,5,2,5,1,5,4,6,11,GP,F,R,GT3,T,other,course,mother,no,yes,no,no,0,1,0,0
171,16,2,2,3,1,0,4,2,2,1,2,3,4,11,GP,M,R,GT3,T,other,course,mother,no,yes,no,no,0,0,0,1
172,16,3,3,1,2,1,4,5,5,4,4,5,0,1,GP,M,U,GT3,T,services,course,father,yes,yes,yes,yes,0,1,0,0
173,16,1,2,2,1,2,4,4,5,3,5,5,0,10,GP,M,U,LE3,T,services,course,mother,no,yes,yes,no,0,0,0,1
174,17,2,1,2,1,1,3,3,2,2,2,5,8,9,GP,M,R,LE3,T,other,course,mother,yes,no,yes,yes,0,0,1,0
175,17,3,2,2,2,2,4,4,4,1,4,3,4,8,GP,M,R,GT3,T,other,course,mother,yes,yes,yes,yes,1,1,0,0
176,15,1,2,2,1,0,4,4,4,2,4,5,2,10,GP,M,U,LE3,T,other,course,mother,yes,yes,no,no,0,0,0,1
177,16,1,3,1,1,1,5,3,3,1,4,2,2,8,GP,M,U,GT3,T,services,course,father,yes,no,yes,no,0,0,0,1
178,17,1,1,4,2,0,5,3,5,1,5,5,0,8,GP,M,R,LE3,T,services,course,mother,yes,no,no,yes,0,0,0,1
179,17,3,2,2,1,3,4,5,2,1,1,2,10,8,GP,M,U,GT3,T,services,course,mother,no,no,no,no,0,1,0,0
180,16,2,2,1,2,0,4,3,5,2,4,4,0,11,GP,M,U,GT3,T,other,course,father,yes,no,yes,no,0,0,0,1
181,16,4,2,1,2,0,4,2,3,1,1,3,0,18,GP,F,U,GT3,T,services,home,father,yes,yes,yes,yes,0,0,0,1
182,16,2,2,1,2,0,5,1,5,1,1,4,0,13,GP,F,U,GT3,T,other,home,mother,no,yes,yes,no,0,1,0,0
183,16,4,4,1,2,0,4,4,2,1,1,3,0,17,GP,F,U,GT3,T,health,reputation,mother,yes,yes,yes,yes,0,1,0,0
184,16,3,4,3,1,1,3,4,5,2,4,2,4,10,GP,M,U,GT3,T,other,course,father,no,yes,yes,no,0,1,0,0
185,16,1,0,2,2,0,4,3,2,1,1,3,0,18,GP,M,U,GT3,T,other,reputation,mother,yes,yes,yes,yes,0,1,0,0
186,17,4,4,1,2,0,4,4,4,1,3,5,0,10,GP,M,U,LE3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
187,16,1,3,1,2,0,4,3,5,1,1,3,0,13,GP,F,U,GT3,T,services,home,mother,no,yes,yes,yes,0,0,0,1
188,16,3,3,2,2,0,4,4,5,1,1,4,0,15,GP,F,U,LE3,T,other,reputation,mother,yes,yes,yes,no,0,1,0,0
189,17,4,3,2,2,0,4,4,4,4,4,4,0,11,GP,M,U,LE3,T,other,course,mother,yes,yes,yes,no,0,0,0,1
190,16,2,2,2,2,0,3,4,4,1,4,5,0,14,GP,F,U,GT3,T,other,reputation,mother,no,yes,yes,no,0,0,0,1
191,17,3,3,1,2,0,4,3,4,1,4,4,4,10,GP,M,U,GT3,T,other,reputation,father,no,yes,yes,no,0,0,0,1
192,16,4,2,1,1,0,4,3,3,3,4,3,8,11,GP,M,R,GT3,T,services,other,mother,yes,yes,yes,yes,0,1,0,0
193,17,4,3,1,2,0,5,2,3,1,1,2,4,13,GP,M,U,GT3,T,other,course,mother,yes,yes,yes,yes,0,1,1,0
194,16,4,3,1,2,0,3,4,3,2,3,3,4,11,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,no,0,1,1,0
195,16,3,3,1,2,0,4,2,3,1,2,3,0,13,GP,M,U,GT3,T,other,home,mother,yes,yes,yes,yes,0,0,0,1
196,17,2,4,1,2,0,5,4,2,2,3,5,0,17,GP,F,U,GT3,T,services,reputation,father,yes,yes,no,no,0,1,0,0
197,17,3,3,1,2,0,5,3,3,2,3,1,32,14,GP,F,U,LE3,T,other,reputation,mother,yes,yes,yes,yes,0,1,0,0
